Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
WZEWPAEAOGXTYJSKKEMJ;MHSNLHEPHAGZLSZSZYPN;295670;1546815600;1547938800;07/01/2019;20/01/2019;1
WZEWPAEAOGXTYJSKKEMJ;MHSNLHEPHAGZLSZSZYPN;295666;1545001200;1546729200;17/12/2018;06/01/2019;1
WZEWPAEAOGXTYJSKKEMJ;MHSNLHEPHAGZLSZSZYPN;295672;1548025200;1548543600;21/01/2019;27/01/2019;1
WZEWPAEAOGXTYJSKKEMJ;MHSNLHEPHAGZLSZSZYPN;295662;1543791600;1544914800;03/12/2018;16/12/2018;1
WZEWPAEAOGXTYJSKKEMJ;WGVYVSHZHHBECQBXENJA;295655;1542582000;1543100400;19/11/2018;25/11/2018;1
WZEWPAEAOGXTYJSKKEMJ;WGVYVSHZHHBECQBXENJA;295657;1542582000;1543705200;19/11/2018;02/12/2018;1
WZEWPAEAOGXTYJSKKEMJ;GOMXHVKBWRBODLVMPCUL;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
WZEWPAEAOGXTYJSKKEMJ;YZBIVYHLROJCWLCNJNBC;297580;1540591200;1540591200;27/10/2018;27/10/2018;1
WZEWPAEAOGXTYJSKKEMJ;RHABUOKXPHQBSZXFFPVR;297576;1540332000;1540677600;24/10/2018;28/10/2018;1
WZEWPAEAOGXTYJSKKEMJ;QJHYSZCJLYVZIXGKDPIV;297035;1538690400;1538863200;05/10/2018;07/10/2018;0
WZEWPAEAOGXTYJSKKEMJ;NHZUSAIQJLCDONLGGJXG;297050;1539381600;1539468000;13/10/2018;14/10/2018;0
YWYHIGOVVOQLQCAQXOQP;HZKMVVUKMYXNTAURPDCB;295657;1542582000;1543705200;19/11/2018;02/12/2018;1
YWYHIGOVVOQLQCAQXOQP;HZKMVVUKMYXNTAURPDCB;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
YWYHIGOVVOQLQCAQXOQP;HZKMVVUKMYXNTAURPDCB;297576;1540332000;1540677600;24/10/2018;28/10/2018;1
YWYHIGOVVOQLQCAQXOQP;HZKMVVUKMYXNTAURPDCB;295653;1541372400;1542495600;05/11/2018;18/11/2018;1
YWYHIGOVVOQLQCAQXOQP;HZKMVVUKMYXNTAURPDCB;295662;1543791600;1544914800;03/12/2018;16/12/2018;1
YWYHIGOVVOQLQCAQXOQP;ZDAQKFBXJKCYTQSJRNQL;297580;1540591200;1540591200;27/10/2018;27/10/2018;1
YWYHIGOVVOQLQCAQXOQP;UVWPVGZZVMVLLHPPWBKW;297050;1539381600;1539468000;13/10/2018;14/10/2018;1
YWYHIGOVVOQLQCAQXOQP;NSEUNOIVXTMFSHWXKFYL;297035;1538690400;1538863200;05/10/2018;07/10/2018;1
YWYHIGOVVOQLQCAQXOQP;DAVPWLSPZYWZNMYRETXG;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
FSKVASKUKYPFZQNDKSBS;QFVJXLMQYHEQOQYUNGLT;295662;1543791600;1544914800;03/12/2018;16/12/2018;1
FSKVASKUKYPFZQNDKSBS;QFVJXLMQYHEQOQYUNGLT;295653;1541372400;1542495600;05/11/2018;18/11/2018;1
FSKVASKUKYPFZQNDKSBS;QFVJXLMQYHEQOQYUNGLT;295666;1545001200;1546729200;17/12/2018;06/01/2019;1
FSKVASKUKYPFZQNDKSBS;QFVJXLMQYHEQOQYUNGLT;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
FSKVASKUKYPFZQNDKSBS;JAUBYGFZJWAXXRXMDSHU;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
FSKVASKUKYPFZQNDKSBS;JAUBYGFZJWAXXRXMDSHU;297576;1540332000;1540677600;24/10/2018;28/10/2018;1
FSKVASKUKYPFZQNDKSBS;KALASYQBDSZRJZIIFNLW;297050;1539381600;1539468000;13/10/2018;14/10/2018;1
FSKVASKUKYPFZQNDKSBS;RHABUOKXPHQBSZXFFPVR;297580;1540591200;1540591200;27/10/2018;27/10/2018;1
FSKVASKUKYPFZQNDKSBS;MKMZKNQQQWOXYNSRONJC;297035;1538690400;1538863200;05/10/2018;07/10/2018;1
GCGWJLIUSXRHDISESGNK;RPRIHJHSOXRUTZDNRLUA;297580;1540591200;1540591200;27/10/2018;27/10/2018;1
GCGWJLIUSXRHDISESGNK;RPRIHJHSOXRUTZDNRLUA;297576;1540332000;1540677600;24/10/2018;28/10/2018;1
GCGWJLIUSXRHDISESGNK;RIGABEWYYNNKUCYLSMNV;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;RIGABEWYYNNKUCYLSMNV;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
GCGWJLIUSXRHDISESGNK;QDYORVRERBQYKRQHQBOG;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;QDYORVRERBQYKRQHQBOG;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
GCGWJLIUSXRHDISESGNK;VBUWZZDLGKMJJZGCYISO;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;VEMYNVJNAWCDUNLLFOYR;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;OTHGEAKNVTXHCBYKOKKZ;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;CFWLFYLPBFEMHDQRBKVE;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;BXOYQGDSHQWPYGNFVVRN;297050;1539381600;1539468000;13/10/2018;14/10/2018;1
GCGWJLIUSXRHDISESGNK;SCKVPPQUYKNCUPIVJMGU;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
GCGWJLIUSXRHDISESGNK;LXQKJRQMXZBJJCCUYSTN;297035;1538690400;1538863200;05/10/2018;07/10/2018;1
GCGWJLIUSXRHDISESGNK;ENSKUXZJJDKRPYJIXVUN;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;IRSSZBUIYHKNUUTFQYUI;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
OTHGEAKNVTXHCBYKOKKZ;IRSSZBUIYHKNUUTFQYUI;295666;1545001200;1546729200;17/12/2018;06/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;IRSSZBUIYHKNUUTFQYUI;295662;1543791600;1544914800;03/12/2018;16/12/2018;1
OTHGEAKNVTXHCBYKOKKZ;IRSSZBUIYHKNUUTFQYUI;295670;1546815600;1547938800;07/01/2019;20/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;IRSSZBUIYHKNUUTFQYUI;295672;1548025200;1548543600;21/01/2019;27/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;VEMYNVJNAWCDUNLLFOYR;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;VEMYNVJNAWCDUNLLFOYR;297576;1540332000;1540677600;24/10/2018;28/10/2018;1
OTHGEAKNVTXHCBYKOKKZ;VEMYNVJNAWCDUNLLFOYR;297050;1539381600;1539468000;13/10/2018;14/10/2018;1
OTHGEAKNVTXHCBYKOKKZ;VBUWZZDLGKMJJZGCYISO;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;VBUWZZDLGKMJJZGCYISO;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
OTHGEAKNVTXHCBYKOKKZ;GRBFZUFYZMVPLCXREVMB;297580;1540591200;1540591200;27/10/2018;27/10/2018;1
OTHGEAKNVTXHCBYKOKKZ;GCGWJLIUSXRHDISESGNK;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;CFWLFYLPBFEMHDQRBKVE;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;SCKVPPQUYKNCUPIVJMGU;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;RIGABEWYYNNKUCYLSMNV;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;QDYORVRERBQYKRQHQBOG;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
OTHGEAKNVTXHCBYKOKKZ;PUZOIWAHHRGBENQFJWBR;297035;1538690400;1538863200;05/10/2018;07/10/2018;1
OTHGEAKNVTXHCBYKOKKZ;ENSKUXZJJDKRPYJIXVUN;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
VMHGWZNWVPUHIWBAQPPJ;UYUCXVOXASUZLKCGBEGA;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
VMHGWZNWVPUHIWBAQPPJ;UYUCXVOXASUZLKCGBEGA;297576;1540332000;1540677600;24/10/2018;28/10/2018;1
VMHGWZNWVPUHIWBAQPPJ;UYUCXVOXASUZLKCGBEGA;295657;1542582000;1543705200;19/11/2018;02/12/2018;1
VMHGWZNWVPUHIWBAQPPJ;UYUCXVOXASUZLKCGBEGA;297575;1540159200;1541286000;22/10/2018;04/11/2018;1
VMHGWZNWVPUHIWBAQPPJ;UYUCXVOXASUZLKCGBEGA;295655;1542582000;1543100400;19/11/2018;25/11/2018;1
VMHGWZNWVPUHIWBAQPPJ;UYUCXVOXASUZLKCGBEGA;295666;1545001200;1546729200;17/12/2018;06/01/2019;1
VMHGWZNWVPUHIWBAQPPJ;MHSNLHEPHAGZLSZSZYPN;295380;1548025200;1548025200;21/01/2019;21/01/2019;1
VMHGWZNWVPUHIWBAQPPJ;MHSNLHEPHAGZLSZSZYPN;295659;1543791600;1544914800;03/12/2018;16/12/2018;1
