id;year;promo;city;gpa
ZRYTZKINLUCIUPJSFLAG;3;2020;NCY;1.683544304
ZNLNJOCOFFXPLXFXONKG;1;2022;NCY;1.285714286
ZJURKZTMZVAWAMEFETHC;2;2021;NCY;1.684210526
ZDNOOBXWDXFRIHVWSVXE;3;2020;NCY;1.648484848
YYVRGOXCQHWXFFMQVNDC;3;2020;NCY;1.5317460319999998
YULAFPKTFWVUCHLIDPST;1;2022;NCY;2.714285714
YRRPILUSFJUVVLHRPDRP;1;2022;NCY;3.538461538
YQWFFATYYFEWCMFDTJVE;3;2020;NCY;3.06993007
YPASWCCJWHIAADLIJRWH;3;2020;NCY;2.586666667
XZNZQBEXSCDKBQQNHGNP;3;2020;NCY;2.095238095
XZCDFXVZAKOHXVONQFVY;3;2020;NCY;3.0239999999999996
XWVGXOZVELUHTWIGKMTQ;3;2020;NCY;2.645669291
XSDYROSXZQPLHQQMHRDI;1;2022;NCY;0.14285714300000002
XOITSXVPJZHXNRPENSAJ;1;2022;NCY;1.142857143
XIMYZSNIFIIPUDKHEIOL;3;2020;NCY;3.524193548
XGOJKQJPXWNVWYHSPIEH;1;2022;NCY;1.428571429
XBAJVKMSQMLAHGLVYJNE;3;2020;NCY;1.886904762
WXPEGQIQLWROMFSWHAGA;3;2020;NCY;1.422619048
WXEQYJVITSJWOBBNQMMV;1;2022;NCY;2.142857143
WOOKBJEPGMJXVEXONXPF;3;2020;NCY;3.297297297
WNEVKDKRKDFKOCFJFLHN;1;2022;NCY;1.5
WIUHYZUOYHFIKXXGGSYO;4;2019;NCY;1.226744186
WGQUQXRSAOKVZLHPDMLV;3;2020;NCY;1.61038961
VROSNKUIVVJAXXDHWYYH;1;2022;NCY;2.928571429
VLTEOSBCUOROUUTCNCKG;4;2019;NCY;1.601351351
VGWLQZEHJMCGMRHDFQQV;4;2019;NCY;1.132911392
VETIKTECVOAWNVMOFHKX;3;2020;NCY;1.6666666669999999
UMTOJTZHVCRLNAKTJUQZ;1;2022;NCY;0.846153846
UJMRMNZEYEUYUKSGMLHO;1;2022;NCY;1.785714286
UIGQNFRDBTFJWWSHLPLN;3;2020;NCY;3.338235294
UFMYGBFHARHERMVKSYUD;1;2022;NCY;2.214285714
TUZESPYXLXYKIRIDHXRP;1;2022;NCY;2.357142857
TUIXWKDRUFVIPSHQEARZ;1;2022;NCY;3.285714286
TQSXWWMQQBFOSJENIVJE;2;2021;NCY;1.6818181819999998
TPUXZZJUEPAFXXMUHWIH;3;2020;NCY;1.929487179
TLTZZZKTFEAQSLCDIEFY;3;2020;NCY;2.27480916
SWENDEKFXTMSKNDPIUGH;3;2020;NCY;1.7090909090000002
SSRPLYQZLTNAZVFTEDHN;3;2020;NCY;3.306569343
SLYIZEEPDAMQWOREARKO;4;2019;NCY;1.096938776
SDQQDQOMBCPAWNIMSHNF;3;2020;NCY;1.452380952
RXFZQQWUBKJVMONEQPIL;1;2022;NCY;0.307692308
REZBWPWOAKNGOWKKKJTG;4;2019;NCY;1.509933775
QWGHGZDRVZTWSENEXMKB;3;2020;NCY;2.0754716980000003
QVAFBAWTVCCPFLJCCCXZ;1;2022;NCY;2.142857143
QCZQPCPMBARIECLSAAJL;1;2022;NCY;1.857142857
PYAZOETFZBSEGAZUSNOS;1;2022;NCY;1.857142857
PXZKFPPEKSZJORCDVNLJ;1;2022;NCY;2.4285714290000002
PQGARVZBLSKTURIXLQAQ;1;2022;NCY;3.357142857
PJFLAICPBADFDLHCIHPT;1;2022;NCY;0.7142857140000001
PDCRLONNZWASEFAHSNYR;1;2022;NCY;0.9285714290000001
PBHABYBMCPBUUYAEUKNL;1;2022;NCY;2.5
ORCVYGSLEDSPEVIGFAQP;1;2022;NCY;2.214285714
ONWXPCKFEMZZTZTGDJHN;3;2020;NCY;2.1768707480000002
OLHKIWBPGGRLKERSLSTM;1;2022;NCY;1.071428571
OJGRKMRBVMZGMVQTPUGT;3;2020;NCY;2.2620689659999997
NVFHDYCYCXVIMDKJPKOL;3;2020;NCY;1.932098765
NTRDKVSSRHNTIVHOAJWL;1;2022;NCY;2.714285714
NTMOQYOIEDPGHYOOCOBJ;3;2020;NCY;3.9375
NOKOMPGHSFHKEZGNUCSL;1;2022;NCY;3.5
NFTBRNJCAZLVFSFTFNIN;3;2020;NCY;3.3059701489999997
NCLFNLCNKJCHANTBINZW;1;2022;NCY;2.857142857
NBWKIATAQFSYCUESBPFT;1;2022;NCY;2.5
NBODHKGEYBNJAOXIDURY;3;2020;NCY;1.7959183669999998
MISSLJBSLJLDEMAEBCBK;3;2020;NCY;2.681481481
MASWCYAMOMYNCILDFCXU;1;2022;NCY;0.5
LRVRIPUSYFUKGBNFQUMO;3;2020;NCY;3.503267974
LRSAMNRHJGSTUSKTVAQJ;1;2022;NCY;0.7142857140000001
LQKUZRPGYSBDOFIGMJVS;1;2022;NCY;3.307692308
LEKRNEGVKYQKSQQKFDWK;1;2022;NCY;0.35714285700000004
LDBQFWYZDLDMERFKPFEE;3;2020;NCY;2.3046357619999998
LCGDPUNOEUGZIXYLKPSP;3;2020;NCY;2.197530864
LAOCYFQALCBDUZIMOGAU;3;2020;NCY;2.0314465409999998
KZPRUXPSTOOCMXHEELUL;1;2022;NCY;1.9333333330000002
KZORFMGEETNIWGYFGTZI;1;2022;NCY;1.642857143
KZFTMCRPRNQCJFNOTZPZ;2;2021;NCY;1.384615385
KQEIUJVRPESNDCZGYSDW;1;2022;NCY;1.571428571
KFRTZAHFOAQUGXCQIQLR;1;2022;NCY;2.142857143
KFCKKUEPJMUNQIVTCQTM;2;2021;NCY;1.142857143
JXKMKYCCATBSKTTUCSID;1;2022;NCY;3.5
JRTTYWJIJRVFTFLBNRAT;1;2022;NCY;1.928571429
JOTDHUGQYTRYFUBHQXXL;1;2022;NCY;1.0
JNFSRVNACCMEJOBUOYIZ;1;2022;NCY;1.285714286
JLTFEBNZWSXRAAUKOYUF;2;2021;NCY;2.263157895
JGRKGLGDCXPZWAGZVGON;3;2020;NCY;1.7544910180000002
JGEJMYUGGCUZWSOFEYCS;3;2020;NCY;2.054054054
IZNUVBYJJFKMIDXABIYQ;3;2020;NCY;2.126666667
ICCFCRORUTXMUVBEEJFG;1;2022;NCY;3.1538461539999996
HUMHGKVPYVCVKAQLIDZV;3;2020;NCY;3.574468085
HHMIQLBXVPPTJFKABJMC;4;2019;NCY;1.732919255
HFOYOFUWKBTQPWGLKETY;1;2022;NCY;2.4285714290000002
HENOFZDUPCNTPNNVJZSM;3;2020;NCY;1.870967742
HAQMKRWMXXDWEFIMJXZW;3;2020;NCY;1.696551724
GYAMYSYHVFNBAKWNVQGU;1;2022;NCY;0.642857143
GTDUULLAMOXEVZMQXLNT;3;2020;NCY;3.2714285710000004
GNNKHYVVULSWCICCGQST;1;2022;NCY;0.28571428600000004
GLBHSOEUGSTFJCVDKVOK;2;2021;NCY;0.208333333
GKCQRWIKLGYVWBPFXUVK;4;2019;NCY;2.2681159419999997
FYLSJTPPSUBVLQKBEDZO;1;2022;NCY;1.642857143
FWMPEGBDMGGEXAXJKKVW;3;2020;NCY;3.7941176469999998
FTRBWEUIONRFJBCDIGYA;1;2022;NCY;2.357142857
FRZKCWUHTVFOESPVAWYD;2;2021;NCY;0.38888888899999996
FIPFLNJTQNRUJDFIWKZM;3;2020;NCY;1.820359281
EWJJLSIHKLGOTIHDZRMR;1;2022;NCY;1.428571429
ELZISQQBHLSBTFBQWUXT;1;2022;NCY;2.785714286
EKTTLRPOMEJYQKECIHFH;2;2021;NCY;2.666666667
DYHKHVDDYKAMJOPWTVOM;1;2022;NCY;0.5
DIRYRESOJYVNLORZHUOD;3;2020;NCY;3.633587786
DDADJJNFFAHQMKPIJIFB;3;2020;NCY;2.8394160580000003
CYYBXAVSHVOQCAEQESPA;1;2022;NCY;2.4285714290000002
CJNSVOJXABRZFRHGDTJH;1;2022;NCY;2.214285714
BYRKHLJAUDUZNLPVVIAU;1;2022;NCY;0.857142857
BYGEOKEKNNWUBCNVFVQQ;3;2020;NCY;2.9469696969999997
BVQYTAYEXQGBSPBFJYAJ;3;2020;NCY;1.865384615
BPVRYPHBLJWGGIOJRPTB;2;2021;NCY;2.7058823530000002
BKQAAJKECQHWWIBSDNZO;1;2022;NCY;0.5
BFNVQYLSGYQIEVTBSRJW;2;2021;NCY;1.1
AYBCPNOPGUHCPANIGRQH;1;2022;NCY;0.28571428600000004
AMROTLDHRQKYIFYJAZJH;1;2022;NCY;0.571428571
ALAQQKAJMLCCEWRKKJIJ;1;2022;NCY;0.642857143
AKYUDJGUGZQSQYVTLLVZ;1;2022;NCY;2.0
