id;year;promo;city;gpa
ZGFKXEGYYOGFRPMCOSON;1;2022;MPL;1.5833333330000001
ZDAQKFBXJKCYTQSJRNQL;1;2022;MPL;0.666666667
YZBIVYHLROJCWLCNJNBC;1;2022;MPL;1.75
YWYHIGOVVOQLQCAQXOQP;1;2022;MPL;2.083333333
XWWYYONRBRCWDAEDHYVU;1;2022;MPL;0.916666667
WZEWPAEAOGXTYJSKKEMJ;1;2022;MPL;1.0
WUVTVMVKBSIIOGAADASH;1;2022;MPL;1.8333333330000001
WGVYVSHZHHBECQBXENJA;1;2022;MPL;1.6666666669999999
VNQRKEFJXUMEBWMZJNCL;1;2022;MPL;2.461538462
VMHGWZNWVPUHIWBAQPPJ;1;2022;MPL;1.0
VLOCAAFVLIYPPSQZWPQE;1;2022;MPL;1.8333333330000001
VEPNXKQSKOVLTDXZEJWM;1;2022;MPL;1.25
VEMYNVJNAWCDUNLLFOYR;1;2022;MPL;1.5
VBUWZZDLGKMJJZGCYISO;1;2022;MPL;3.083333333
UYUCXVOXASUZLKCGBEGA;1;2022;MPL;1.0
UVWPVGZZVMVLLHPPWBKW;1;2022;MPL;0.583333333
UJZMOICPWGLFUOBXTRGP;1;2022;MPL;3.615384615
UFFQLBECTNYHMYZQVKGE;1;2022;MPL;2.25
TVDTBDGTXGPHVBNMFAOH;1;2022;MPL;2.166666667
TSORBJFBWNLXTXOVFUZM;1;2022;MPL;2.538461538
SPUAWCZYCXSGGEYINCAJ;1;2022;MPL;2.166666667
SCKVPPQUYKNCUPIVJMGU;1;2022;MPL;1.5
RPMISXXNUCUNYXACPDNT;1;2022;MPL;0.75
RIGABEWYYNNKUCYLSMNV;1;2022;MPL;2.583333333
RHABUOKXPHQBSZXFFPVR;1;2022;MPL;0.916666667
QJHYSZCJLYVZIXGKDPIV;1;2022;MPL;3.1538461539999996
QFVJXLMQYHEQOQYUNGLT;1;2022;MPL;1.5833333330000001
QDYORVRERBQYKRQHQBOG;1;2022;MPL;2.333333333
PVYADAQAYCANTLCRLRSG;1;2022;MPL;0.5
PUZOIWAHHRGBENQFJWBR;1;2022;MPL;1.5833333330000001
OTRVRASVTTEZSUZZLYGZ;1;2022;MPL;1.333333333
OTHGEAKNVTXHCBYKOKKZ;1;2022;MPL;3.5
NSEUNOIVXTMFSHWXKFYL;1;2022;MPL;3.166666667
NHZUSAIQJLCDONLGGJXG;1;2022;MPL;3.230769231
NEZBIGMPPCESQWUWZIXG;1;2022;MPL;0.5
NBIYKNBWMNHAASSPSGBM;1;2022;MPL;2.0
MVQXUWJICDHJEOEFEOXX;1;2022;MPL;1.75
MKMZKNQQQWOXYNSRONJC;1;2022;MPL;0.5
MHSNLHEPHAGZLSZSZYPN;1;2022;MPL;1.083333333
MGJHUMWJZQDVDYJFYFPY;1;2022;MPL;1.333333333
MDAUMUFVEHLYLPNKNLLH;1;2022;MPL;1.4166666669999999
LXQKJRQMXZBJJCCUYSTN;1;2022;MPL;1.333333333
LFHVAVWTKPERLSNLMLEZ;1;2022;MPL;2.5
LAFFXBJMYEGMSVLQSIID;1;2022;MPL;0.583333333
KZNZIJXBWWXPCKHSMJKE;1;2022;MPL;1.083333333
KUOZIGMURREGMYQNVMBT;1;2022;MPL;0.0
KALASYQBDSZRJZIIFNLW;1;2022;MPL;0.833333333
JAUBYGFZJWAXXRXMDSHU;1;2022;MPL;0.666666667
IRSSZBUIYHKNUUTFQYUI;1;2022;MPL;3.416666667
HZKMVVUKMYXNTAURPDCB;1;2022;MPL;1.25
HSEXUZLKRTXWEXFWEMLY;1;2022;MPL;0.333333333
GFXDQBCYKPAISZSYVLVR;1;2022;MPL;2.583333333
GEVXRXBXEECLWEQZNDTC;1;2022;MPL;2.0
GCGWJLIUSXRHDISESGNK;1;2022;MPL;1.6666666669999999
FZSWNLNQRCQAXAUFWVWI;1;2022;MPL;0.583333333
FSKVASKUKYPFZQNDKSBS;1;2022;MPL;1.5
EVQJUSNGIFHBWMHVXJTI;1;2022;MPL;1.769230769
ENSKUXZJJDKRPYJIXVUN;1;2022;MPL;4.0
EBDVORBUVXGQFSHHNVIA;1;2022;MPL;1.25
DNXOIXRTAEVUCOMEVSKE;1;2022;MPL;1.5
DFXRYQITFNVGAASPOZQN;1;2022;MPL;1.75
DFMTESZWDCXEMXMYEZUX;1;2022;MPL;3.166666667
DAVPWLSPZYWZNMYRETXG;1;2022;MPL;0.166666667
CFWLFYLPBFEMHDQRBKVE;1;2022;MPL;3.333333333
CCHGTWODCOYYKZSLVXUP;1;2022;MPL;1.166666667
BXOYQGDSHQWPYGNFVVRN;1;2022;MPL;2.416666667
BEPYVNFTDGTRONQDBJOC;1;2022;MPL;0.75
ATJBMZLRRPXBPILLWPYI;1;2022;MPL;2.916666667
