Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
IVQMCYTKSZJNWXQVIDMR;MQQWIVODCMEPUBTSYHYR;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
IVQMCYTKSZJNWXQVIDMR;MQQWIVODCMEPUBTSYHYR;297527;1540159200;1541286000;22/10/2018;04/11/2018;1
IVQMCYTKSZJNWXQVIDMR;MQQWIVODCMEPUBTSYHYR;297528;1540332000;1540677600;24/10/2018;28/10/2018;1
MQQWIVODCMEPUBTSYHYR;FZOPPEHWAKPUAQKLLYDY;295565;1542582000;1543705200;19/11/2018;02/12/2018;1
MQQWIVODCMEPUBTSYHYR;FZOPPEHWAKPUAQKLLYDY;295567;1543791600;1544310000;03/12/2018;09/12/2018;1
MQQWIVODCMEPUBTSYHYR;FZOPPEHWAKPUAQKLLYDY;295561;1541372400;1542495600;05/11/2018;18/11/2018;1
MQQWIVODCMEPUBTSYHYR;FZOPPEHWAKPUAQKLLYDY;295570;1543791600;1544914800;03/12/2018;16/12/2018;1
MQQWIVODCMEPUBTSYHYR;IVQMCYTKSZJNWXQVIDMR;297528;1540332000;1540677600;24/10/2018;28/10/2018;1
MQQWIVODCMEPUBTSYHYR;IVQMCYTKSZJNWXQVIDMR;295332;1544655600;1545174000;13/12/2018;19/12/2018;1
MQQWIVODCMEPUBTSYHYR;IVQMCYTKSZJNWXQVIDMR;297527;1540159200;1541286000;22/10/2018;04/11/2018;1
FZOPPEHWAKPUAQKLLYDY;MQQWIVODCMEPUBTSYHYR;295570;1543791600;1544914800;03/12/2018;16/12/2018;1
FZOPPEHWAKPUAQKLLYDY;MQQWIVODCMEPUBTSYHYR;295565;1542582000;1543705200;19/11/2018;02/12/2018;1
FZOPPEHWAKPUAQKLLYDY;MQQWIVODCMEPUBTSYHYR;295567;1543791600;1544310000;03/12/2018;09/12/2018;1
FZOPPEHWAKPUAQKLLYDY;MQQWIVODCMEPUBTSYHYR;295561;1541372400;1542495600;05/11/2018;18/11/2018;1
