Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
VAIHOBCVFLTSHXVSYFEQ;JPSTHLWLCFNAGTEIYELG;295616;1543791600;1544914800;03/12/2018;16/12/2018;1
VAIHOBCVFLTSHXVSYFEQ;JPSTHLWLCFNAGTEIYELG;273693;1517180400;1520118000;29/01/2018;04/03/2018;1
VAIHOBCVFLTSHXVSYFEQ;JPSTHLWLCFNAGTEIYELG;295611;1542582000;1543705200;19/11/2018;02/12/2018;1
VAIHOBCVFLTSHXVSYFEQ;JPSTHLWLCFNAGTEIYELG;295624;1546815600;1547938800;07/01/2019;20/01/2019;1
VAIHOBCVFLTSHXVSYFEQ;JHFETXAJLOOAWEBYEEDD;274228;1523224800;1526767200;09/04/2018;20/05/2018;1
VAIHOBCVFLTSHXVSYFEQ;JHFETXAJLOOAWEBYEEDD;250749;1513206000;1513206000;14/12/2017;14/12/2017;1
VAIHOBCVFLTSHXVSYFEQ;JHFETXAJLOOAWEBYEEDD;288442;1527026400;1527717600;23/05/2018;31/05/2018;1
VAIHOBCVFLTSHXVSYFEQ;CQDGSUHZUIJCPSMWDAWR;250749;1513206000;1513206000;14/12/2017;14/12/2017;0
VAIHOBCVFLTSHXVSYFEQ;BFMFQKEIMHQVJFDOUNTS;250749;1513206000;1513206000;14/12/2017;14/12/2017;1
VAIHOBCVFLTSHXVSYFEQ;BFMFQKEIMHQVJFDOUNTS;274222;1520809200;1523138400;12/03/2018;08/04/2018;1
VAIHOBCVFLTSHXVSYFEQ;IOAGBBBIKYYNYEFLJCEV;288444;1527026400;1527717600;23/05/2018;31/05/2018;0
VAIHOBCVFLTSHXVSYFEQ;IOAGBBBIKYYNYEFLJCEV;275421;1523829600;1527631200;16/04/2018;30/05/2018;0
VAIHOBCVFLTSHXVSYFEQ;ULFEFYDZKAAUMWDESFNM;297552;1540332000;1540677600;24/10/2018;28/10/2018;1
VAIHOBCVFLTSHXVSYFEQ;SUXOJNVLALZXJQSDOJDO;273705;1520204400;1526162400;05/03/2018;13/05/2018;1
VAIHOBCVFLTSHXVSYFEQ;ERWGENMRPZBCPEIXLSBY;255394;1509141600;1509141600;28/10/2017;28/10/2017;1
