Source;Target;Code_Activity;timestamp_start;timestamp_end;Start;End;Cluster
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;297540;1540332000;1540677600;24/10/2018;28/10/2018;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295601;1546815600;1547938800;07/01/2019;20/01/2019;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295584;1541372400;1542495600;05/11/2018;18/11/2018;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295590;1543273200;1544310000;27/11/2018;09/12/2018;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295597;1545001200;1546729200;17/12/2018;06/01/2019;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295603;1547679600;1548543600;17/01/2019;27/01/2019;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295588;1542582000;1543705200;19/11/2018;02/12/2018;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;295593;1543791600;1544914800;03/12/2018;16/12/2018;1
HUDMOONQFPPFHYKPAXWQ;LWGJKAZPQEFLQEXYCEER;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
HUDMOONQFPPFHYKPAXWQ;THODADVFNNKKRVCXKMQL;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
HUDMOONQFPPFHYKPAXWQ;THODADVFNNKKRVCXKMQL;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;BAAYFRHTUNUAZGDQANYV;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;ZEXYGBOQMGFOMBLLVRNV;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;KXENVAUZIXIXVECLVRUR;297544;1540591200;1540591200;27/10/2018;27/10/2018;1
HUDMOONQFPPFHYKPAXWQ;ZJAPURUSFIJHEEPEGJOW;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;CJMALABEAFSMSBEPAUOD;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;RTAUXQSKEECFSXSRFYPI;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;TCNWMDGIXMDPIXSQQRNN;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;URABIZNWCTJPUUUAVDAL;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
HUDMOONQFPPFHYKPAXWQ;KEQFZCRQSREFFMHRLJHJ;296927;1539381600;1539468000;13/10/2018;14/10/2018;1
KXPKXVKPHINQCCDXOXXW;JRRORLEYTEPCGFMZHGVI;295588;1542582000;1543705200;19/11/2018;02/12/2018;1
KXPKXVKPHINQCCDXOXXW;JRRORLEYTEPCGFMZHGVI;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;JRRORLEYTEPCGFMZHGVI;295593;1543791600;1544914800;03/12/2018;16/12/2018;1
KXPKXVKPHINQCCDXOXXW;PZDFXJIFYNAZFOOEBPUL;295584;1541372400;1542495600;05/11/2018;18/11/2018;1
KXPKXVKPHINQCCDXOXXW;PZDFXJIFYNAZFOOEBPUL;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
KXPKXVKPHINQCCDXOXXW;TXFBMLOWGGLJZDZALROB;297540;1540332000;1540677600;24/10/2018;28/10/2018;1
KXPKXVKPHINQCCDXOXXW;TXFBMLOWGGLJZDZALROB;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
KXPKXVKPHINQCCDXOXXW;JNORIJEQXSVXIOPNIGWT;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;HYGHILFOZWKNWJORTZBH;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;TKPIYPAIFHGCFYSUIMGM;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;JXXRPITGGWJPWZIMVHQU;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;QETDUUDNMDTNBLHWVWVJ;296927;1539381600;1539468000;13/10/2018;14/10/2018;1
KXPKXVKPHINQCCDXOXXW;GXLLKQEKLBEGNHXFRIHJ;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;GKZNRXYSOZFXBRKESDSR;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;UGYNTZRAMAWLNCGZXXDG;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;LGXMPPAZWGQGGEELKSBL;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
KXPKXVKPHINQCCDXOXXW;IRKVYNINZTFSEQMYWYBM;296912;1538776800;1538863200;06/10/2018;07/10/2018;1
KXPKXVKPHINQCCDXOXXW;WPWILWPGPIWAOCPRHYQP;297544;1540591200;1540591200;27/10/2018;27/10/2018;1
QETDUUDNMDTNBLHWVWVJ;TRBWFFNJCKYIPJZVBLNR;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;TRBWFFNJCKYIPJZVBLNR;295601;1546815600;1547938800;07/01/2019;20/01/2019;1
QETDUUDNMDTNBLHWVWVJ;TRBWFFNJCKYIPJZVBLNR;297540;1540332000;1540677600;24/10/2018;28/10/2018;1
QETDUUDNMDTNBLHWVWVJ;BOAVXNHNNMVLAQIWTTJP;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;ROXQUFYSENMXHJBYITVE;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;SXFXOOFILONTATWXLSAP;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;QRLFMBJWWSUZRRIPHEJM;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;KXPKXVKPHINQCCDXOXXW;296927;1539381600;1539468000;13/10/2018;14/10/2018;1
QETDUUDNMDTNBLHWVWVJ;CXQDCUPDHCMQQSGDIZML;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;ZKYZDRWPDEQYGGPGXCAX;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
QETDUUDNMDTNBLHWVWVJ;WPYUVQISLNQNGWRSUZCA;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;XKBCJTQFMIUGXDFIYWRA;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
QETDUUDNMDTNBLHWVWVJ;NTKKTWDQKRLTKYSHVYEA;295584;1541372400;1542495600;05/11/2018;18/11/2018;1
QETDUUDNMDTNBLHWVWVJ;KNCBUECVEIMOBMOFVDYE;297544;1540591200;1540591200;27/10/2018;27/10/2018;1
QETDUUDNMDTNBLHWVWVJ;YLGITFKWBASDGBVUZEWU;297539;1540159200;1541286000;22/10/2018;04/11/2018;1
QETDUUDNMDTNBLHWVWVJ;IYHZRZTIIEQPGEBHKIAK;295344;1544655600;1545174000;13/12/2018;19/12/2018;1
ZKYZDRWPDEQYGGPGXCAX;ZAGWFIUAWFGQIXLWGGFI;295590;1543273200;1544310000;27/11/2018;09/12/2018;1
ZKYZDRWPDEQYGGPGXCAX;ZAGWFIUAWFGQIXLWGGFI;295584;1541372400;1542495600;05/11/2018;18/11/2018;1
